"sentence","noun_phrase","grammatical","corrected"
"COGNITIVE CONTROL TASKS AND CODE-SWITCHING : AN INVESTIGATION INTO INTERNAL VALIDITY","CODE-SWITCHING","yes","CODE-SWITCHING"
"COGNITIVE CONTROL TASKS AND CODE-SWITCHING : AN INVESTIGATION INTO INTERNAL VALIDITY","INTERNAL VALIDITY","yes","INTERNAL VALIDITY"
"COGNITIVE CONTROL TASKS AND CODE-SWITCHING : AN INVESTIGATION INTO INTERNAL VALIDITY","COGNITIVE CONTROL TASKS","yes","COGNITIVE CONTROL TASKS"
"COGNITIVE CONTROL TASKS AND CODE-SWITCHING : AN INVESTIGATION INTO INTERNAL VALIDITY","AN INVESTIGATION","yes","AN INVESTIGATION"
"COGNITIVE CONTROL TASKS AND CODE-SWITCHING : AN INVESTIGATION INTO INTERNAL VALIDITY","INTERNAL VALIDITY","yes","INTERNAL VALIDITY"
"Current research into bilingualism is very diverse and highly controversial .","Current research","yes","Current research"
"Current research into bilingualism is very diverse and highly controversial .","Current research","yes","Current research"
"Current research into bilingualism is very diverse and highly controversial .","bilingualism","yes","bilingualism"
"The idea that bilingual speakers have any sort of cognitive advantage over monolingual speakers is supported by some studies and defeated by others .","The idea","yes","The idea"
"The idea that bilingual speakers have any sort of cognitive advantage over monolingual speakers is supported by some studies and defeated by others .","bilingual speakers","yes","bilingual speakers"
"The idea that bilingual speakers have any sort of cognitive advantage over monolingual speakers is supported by some studies and defeated by others .","any sort","yes","any sort"
"The idea that bilingual speakers have any sort of cognitive advantage over monolingual speakers is supported by some studies and defeated by others .","cognitive advantage","yes","cognitive advantage"
"The idea that bilingual speakers have any sort of cognitive advantage over monolingual speakers is supported by some studies and defeated by others .","monolingual speakers","yes","monolingual speakers"
"The idea that bilingual speakers have any sort of cognitive advantage over monolingual speakers is supported by some studies and defeated by others .","some studies","yes","some studies"
"The idea that bilingual speakers have any sort of cognitive advantage over monolingual speakers is supported by some studies and defeated by others .","others","yes","others"
"The critiques suggest publication bias and methodological issues among others .","The critiques","no","Critiques"
"The critiques suggest publication bias and methodological issues among others .","publication bias","no","a publication bias"
"The critiques suggest publication bias and methodological issues among others .","others","yes","others"
"The critiques suggest publication bias and methodological issues among others .","publication bias","yes","publication bias"
"The critiques suggest publication bias and methodological issues among others .","methodological issues","yes","methodological issues"
"The critiques suggest publication bias and methodological issues among others .","others","yes","others"
"Research in bilingualism is tightly related to the concept of cognitive control - the ability to choose the cues appropriate to the environment and suppress those that are not .","Research","yes","Research"
"Research in bilingualism is tightly related to the concept of cognitive control - the ability to choose the cues appropriate to the environment and suppress those that are not .","bilingualism","yes","bilingualism"
"Research in bilingualism is tightly related to the concept of cognitive control - the ability to choose the cues appropriate to the environment and suppress those that are not .","the concept","yes","the concept"
"Research in bilingualism is tightly related to the concept of cognitive control - the ability to choose the cues appropriate to the environment and suppress those that are not .","cognitive control","yes","cognitive control"
"Research in bilingualism is tightly related to the concept of cognitive control - the ability to choose the cues appropriate to the environment and suppress those that are not .","the ability","yes","the ability"
"Research in bilingualism is tightly related to the concept of cognitive control - the ability to choose the cues appropriate to the environment and suppress those that are not .","the cues","yes","the cues"
"Research in bilingualism is tightly related to the concept of cognitive control - the ability to choose the cues appropriate to the environment and suppress those that are not .","the environment","yes","the environment"
"Research in bilingualism is tightly related to the concept of cognitive control - the ability to choose the cues appropriate to the environment and suppress those that are not .","those","yes","those"
